"bugID;""sd"";""cl"";""pd"";""co"";""rp"";""os"";""bs"";""rs"";""pr"";""bsr""",
"550056;""[Quicksearch] Missing menu item for Quick Text Search"";""Eclipse Project"";""Platform"";""UI"";""All"";""All"";""RESOLVED"";""WORKSFORME"";""P3"";""normal""",
"550057;""[Quicksearch] The Quick Text Search dialog and menu item are missing mnemonics"";""Eclipse Project"";""Platform"";""UI"";""All"";""All"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550058;""[Quicksearch] Name mismatch in UI and N&N"";""Eclipse Project"";""Platform"";""UI"";""All"";""All"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550059;""[styled text] Typing ~~ in combination with Â²&~# inserts Ã©~~"";""Eclipse Project"";""Platform"";""SWT"";""PC"";""Windows All"";""VERIFIED"";""FIXED"";""P3"";""normal""",
"550060;""Run the new Use Autoboxing - Use Unboxing cleanup on eclipse.platform.ui"";""Eclipse Project"";""Platform"";""UI"";""PC"";""Linux"";""RESOLVED"";""WORKSFORME"";""P3"";""normal""",
"550061;""Change Title bar of systemconfiguration editor to better indicate that it is the system configuration"";""IoT"";""4DIAC"";""4DIAC-IDE"";""PC"";""Linux"";""CLOSED"";""FIXED"";""P3"";""normal""",
"550062;""Use ArrayDeque rather than Stack"";""Eclipse Project"";""PDE"";""UI"";""PC"";""Linux"";""VERIFIED"";""FIXED"";""P3"";""normal""",
"550063;""ClassFile.addFieldInfos throws ArrayIndexOutOfBoundsException"";""Eclipse Project"";""JDT"";""Core"";""PC"";""All"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550064;""Creating new Application in default System(Project)"";""IoT"";""4DIAC"";""4DIAC-IDE"";""PC"";""Windows 10"";""CLOSED"";""FIXED"";""P3"";""normal""",
"550065;""Please include setup for project Eclipse Capra"";""Tools"";""Oomph"";""Setup"";""PC"";""Mac OS X"";""RESOLVED"";""FIXED"";""P3"";""enhancement""",
"550066;""Tracking bug for inclusion of Eclipse Capra in Oomph project catalogue"";""Modeling"";""Capra"";""Releng"";""PC"";""Mac OS X"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550067;""ArrayIndexOutOfBoundsException in Java Search"";""Eclipse Project"";""JDT"";""Core"";""PC"";""Mac OS X"";""NEW"";;""P3"";""normal""",
"550068;""empty action is not visible in the property sheet"";""IoT"";""4DIAC"";""4DIAC-IDE"";""PC"";""Windows 10"";""CLOSED"";""FIXED"";""P3"";""normal""",
"550069;""OpenJ9: 2 zlinux nodes offline"";""Eclipse Foundation"";""Community"";""CI-Jenkins"";""PC"";""Linux"";""CLOSED"";""NOT_ECLIPSE"";""P3"";""normal""",
"550070;""Use StringBuilder instead of StringBuffer"";""Eclipse Project"";""Equinox"";""Framework"";""PC"";""Linux"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550071;""Generating autocomplete from XSD crashes Eclipse"";""WebTools"";""WTP Source Editing"";""wst.xsd"";""PC"";""Windows 10"";""NEW"";;""P3"";""major""",
"550072;""EModelService#cloneElement does also clone transient data and widget ref"";""Eclipse Project"";""Platform"";""UI"";""PC"";""Linux"";""CLOSED"";""WONTFIX"";""P3"";""normal""",
"550073;""Diagram validation does not validate all visible elements"";""Modeling"";""Sirius"";""Diagram"";""PC"";""Windows 10"";""NEW"";;""P3"";""normal""",
"550074;""Request for commit rights to SimRel repo"";""Eclipse Foundation"";""Community"";""Cross-Project"";""PC"";""All"";""CLOSED"";""FIXED"";""P3"";""normal""",
"550075;""OpenJ9: Git doesn't work on windows nodes after migration"";""Eclipse Foundation"";""Community"";""CI-Jenkins"";""PC"";""Linux"";""CLOSED"";""FIXED"";""P3"";""major""",
"550076;""PEParser doesn't parse 64 bit executables correctly"";""Tools"";""CDT"";""cdt-core"";""PC"";""Windows 10"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550077;""[13] 2 JDT UI tests failing in the Y-Build Y20190812-0900"";""Eclipse Project"";""JDT"";""UI"";""PC"";""All"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550078;""a """"search for dependency and add to target-platform"""" quickfix"";""Eclipse Project"";""PDE"";""UI"";""All"";""All"";""NEW"";;""P3"";""enhancement""",
"550079;""[release] ee4j.cdi 2.0.0"";""Eclipse Foundation"";""Community"";""Proposals and Reviews"";""All"";""All"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550080;""The """"à¸à¸¹"""" character is truncated vertically in a Label on Mac OS"";""Eclipse Project"";""Platform"";""SWT"";""Macintosh"";""Mac OS X"";""CLOSED"";""WONTFIX"";""P3"";""minor""",
"550081;""[impl] JavaCore.getAllVersions() should return an immutable list (or a copy)"";""Eclipse Project"";""JDT"";""Core"";""PC"";""Linux"";""VERIFIED"";""FIXED"";""P3"";""normal""",
"550082;""The check for Git-based projects seems to be too generic"";""Technology"";""EGit"";""UI"";""All"";""All"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550083;""[formatter] UI changes related to blank lines settings"";""Eclipse Project"";""JDT"";""UI"";""All"";""All"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550084;""'unresolved inclusion """"Arduino.h""""' problem might be due to incorrect source files?"";""Tools"";""CDT"";""cdt-arduino"";""PC"";""Windows 10"";""CLOSED"";""WONTFIX"";""P3"";""blocker""",
"550085;""Integrate features from the generic editor"";""WebTools"";""JSDT"";""General"";""All"";""All"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550086;""two breakpoint at single line when debug executable file compiled by gcc8.1"";""Tools"";""TCF"";""Agent"";""PC"";""Linux"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550087;""UI freezes when opening/modifying/closing any Servlet or ServletContextListener"";""Eclipse Project"";""JDT"";""UI"";""PC"";""Windows 10"";""NEW"";;""P3"";""normal""",
"550088;""Provide access ci access to Jakarta EE Specification Committee"";""Eclipse Foundation"";""Community"";""CI-Jenkins"";""PC"";""Mac OS X"";""CLOSED"";""FIXED"";""P3"";""normal""",
"550089;""ssh access hangs with no error on https://ci.eclipse.org/jakartaee-spec-committee/job/promote-release"";""Eclipse Foundation"";""Community"";""CI-Jenkins"";""PC"";""Mac OS X"";""CLOSED"";""FIXED"";""P3"";""normal""",
"550090;""URISyntaxException if AUT Location contains Spaces"";""Technology"";""RCPTT"";""IDE"";""PC"";""Windows 10"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550091;""Eclipse ignores -vm setting in eclipse.ini if restarted."";""Eclipse Project"";""Platform"";""Runtime"";""PC"";""Linux"";""REOPENED"";;""P3"";""normal""",
"550092;""org.eclipse.jdt.compiler.apt.tests needs version increase"";""Eclipse Project"";""JDT"";""APT"";""All"";""All"";""VERIFIED"";""FIXED"";""P3"";""normal""",
"550093;""[Dark Theme] Sash is bright in forms"";""Eclipse Project"";""Platform"";""UI"";""PC"";""Windows 10"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550094;""Update platform to Jetty 9.4.20"";""Eclipse Project"";""Platform"";""Releng"";""All"";""All"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550095;""Add constructor to FilteredItemsSelectionDialog to activate useHashCode and deprecate the others"";""Eclipse Project"";""Platform"";""UI"";""PC"";""Linux"";""NEW"";;""P3"";""normal""",
"550096;""C/C++ formatter eats whitespace if function declaration includes macro resulting in joined method+macro name"";""Tools"";""CDT"";""cdt-editor"";""PC"";""Linux"";""VERIFIED"";""FIXED"";""P3"";""normal""",
"550097;""[release] technology.passage 0.6.0"";""Eclipse Foundation"";""Community"";""Proposals and Reviews"";""All"";""All"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550098;""[release] technology.reddeer 2.7.0"";""Eclipse Foundation"";""Community"";""Proposals and Reviews"";""All"";""All"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550099;""Closing the tree in Project Explorer should scroll to the correct top level element (Project)"";""Eclipse Project"";""Platform"";""UI"";""PC"";""Linux"";""CLOSED"";""WONTFIX"";""P3"";""normal""",
"550100;""program outline disappears when debugging"";""Eclipse Project"";""Platform"";""Debug"";""PC"";""Windows 10"";""RESOLVED"";""NOT_ECLIPSE"";""P3"";""normal""",
"550101;""[Quicksearch] Strings not externalized"";""Eclipse Project"";""Platform"";""Text"";""All"";""All"";""RESOLVED"";""FIXED"";""P3"";""major""",
"550102;""Remove outdated target milestones for Eclipse top level project"";""Eclipse Project"";""Platform"";""IDE"";""PC"";""Linux"";""RESOLVED"";""WONTFIX"";""P3"";""normal""",
"550103;""Offer a way to add language servers via a preference page"";""Technology"";""lsp4e"";""General"";""PC"";""Linux"";""CLOSED"";""WORKSFORME"";""P3"";""normal""",
"550104;""Text Selection in not editable CDateTime Widget should be as simple text selection"";""Eclipse Foundation"";""z_Archived"";""Nebula"";""PC"";""Windows 10"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550105;""[13][quick fix] Text Block: No Quick fix to enable preview feature when using text block"";""Eclipse Project"";""JDT"";""UI"";""All"";""All"";""RESOLVED"";""WORKSFORME"";""P3"";""major""",
"550106;""Align Resource perspective with Java (and other) perspectives"";""Eclipse Project"";""Platform"";""UI"";""PC"";""Linux"";""RESOLVED"";""WONTFIX"";""P3"";""normal""",
"550107;""[13] Text Block: Return after """""""""""" should align below """""""""""""";""Eclipse Project"";""JDT"";""Text"";""All"";""All"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550108;""[13] Text Block: Return after """""""""""" place caret on next line not after """""""""""";"";""Eclipse Project"";""JDT"";""Text"";""All"";""All"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550109;""[13] Text Block: Closing """"""""""""; should not be added if auto-close String preference is off"";""Eclipse Project"";""JDT"";""Text"";""All"";""All"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550110;""Please reset (clear) the new repository org.eclipse.app4mc.addon.migration"";""Eclipse Foundation"";""Community"";""Git"";""All"";""All"";""CLOSED"";""FIXED"";""P3"";""normal""",
"550111;""junit tests are failed on Windows"";""Technology"";""JGit"";""JGit"";""PC"";""Windows 10"";""NEW"";;""P3"";""normal""",
"550112;""Oomph configurator should offer Dark Theme"";""Tools"";""Oomph"";""Setup"";""PC"";""Linux"";""NEW"";;""P3"";""enhancement""",
"550113;""[13] Text Block: Cumbersome to enter a text block into the editor"";""Eclipse Project"";""JDT"";""Text"";""All"";""All"";""VERIFIED"";""FIXED"";""P3"";""normal""",
"550115;""JGit doesn't work if SecurityManager is enabled"";""Technology"";""JGit"";""JGit"";""All"";""Windows 10"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550116;""Codewind PR allow merge without a review approval as a prereq"";""Eclipse Foundation"";""Community"";""GitHub"";""All"";""All"";""CLOSED"";""FIXED"";""P3"";""normal""",
"550117;""""""JRE missing"""" installation page links to JDK downloads on some of its """"Oracle JRE"""" links"";""Tools"";""Oomph"";""Version Management"";""PC"";""Windows NT"";""VERIFIED"";""FIXED"";""P3"";""major""",
"550118;""Developer Mailing list for Proj4J project"";""Eclipse Foundation"";""Community"";""MailingLists"";""PC"";""Mac OS X"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550119;""""""JRE missing"""" installation page touts Eclipse IDE 2019-03 as latest"";""Eclipse Foundation"";""Community"";""Website"";""PC"";""Windows NT"";""REOPENED"";;""P3"";""minor""",
"550120;""UI freeze in PreferenceDialog / FilteredPreferenceDialog"";""Eclipse Project"";""Platform"";""UI"";""PC"";""Linux"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550122;""Eclipse for PHP Developers creates shortcut named """"Eclipse Php Latest Released"""""";""Tools"";""Oomph"";""Setup"";""PC"";""Windows NT"";""RESOLVED"";""FIXED"";""P3"";""major""",
"550123;""Deferred context updates not working properly due to unordered handling"";""Eclipse Project"";""Platform"";""UI"";""PC"";""Linux"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550124;""https://repo.locationtech.org/ is unavailable"";""Eclipse Foundation"";""Community"";""Nexus"";""PC"";""Linux"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550125;""Eclipse is constantly freezing"";""Eclipse Project"";""Platform"";""UI"";""PC"";""Windows 10"";""CLOSED"";""DUPLICATE"";""P3"";""major""",
"550126;""Update FilteredTree usage to use setUseHashlookup"";""Eclipse Project"";""PDE"";""UI"";""PC"";""Linux"";""RESOLVED"";""WORKSFORME"";""P3"";""normal""",
"550127;""Update Show View tree usage to use setUseHashlookup"";""Eclipse Project"";""Platform"";""UI"";""PC"";""Linux"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550128;""[terminate] modeling.pmf"";""Eclipse Foundation"";""Community"";""Proposals and Reviews"";""PC"";""Linux"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550129;""[cleanup] Remove redundant array creation"";""Eclipse Project"";""JDT"";""UI"";""PC"";""Linux"";""VERIFIED"";""FIXED"";""P3"";""normal""",
"550131;""Community product description calls bugs.eclipse.org """"Bugzilla"""""";""Eclipse Foundation"";""Community"";""Bugzilla"";""PC"";""Linux"";""CLOSED"";""FIXED"";""P3"";""normal""",
"550133;""""""Community"""" product's name is misleading"";""Eclipse Foundation"";""Community"";""Bugzilla"";""All"";""All"";""NEW"";;""P3"";""normal""",
"550134;""I-Build (I20190815) failed as SWT build step didn't complete"";""Eclipse Project"";""Platform"";""Releng"";""PC"";""Mac OS X"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550135;""Provide service to notarise Mac app"";""Technology"";""CBI"";""signing"";""PC"";""Mac OS X"";""CLOSED"";""FIXED"";""P3"";""normal""",
"550136;""Improve startup time (performance ) of the Eclipse SDK 4.14"";""Eclipse Project"";""Platform"";""IDE"";""PC"";""All"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550137;""[13] Merge issues with BETA branch: Impact of PreviewEnabled check in DOM on JDT UI"";""Eclipse Project"";""JDT"";""UI"";""All"";""All"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550138;""code recommenders cannot download model repository index"";""Eclipse Project"";""Platform"";""IDE"";""PC"";""Windows 10"";""CLOSED"";""WONTFIX"";""P3"";""normal""",
"550139;""PDE validation dialog should also be centered"";""Eclipse Project"";""PDE"";""UI"";""PC"";""Linux"";""VERIFIED"";""FIXED"";""P3"";""normal""",
"550140;""Eclipse release notes are hard to find"";""Eclipse Project"";""Platform"";""Releng"";""PC"";""Windows 10"";""NEW"";;""P3"";""normal""",
"550141;""[room] improve implementation of scoping (avoid dispatching by name)"";""Modeling"";""eTrice"";""Core"";""PC"";""Windows 10"";""RESOLVED"";""FIXED"";""P3"";""enhancement""",
"550142;""very high Ram consumption on Mac os"";""Eclipse Project"";""Platform"";""SWT"";""PC"";""Mac OS X"";""CLOSED"";""DUPLICATE"";""P3"";""normal""",
"550143;""ChemClipse switch to default branch: develop"";""Eclipse Foundation"";""Community"";""GitHub"";""PC"";""Linux"";""CLOSED"";""FIXED"";""P3"";""normal""",
"550144;""Resource already exists on disk error in the log"";""Technology"";""EGit"";""Core"";""PC"";""Linux"";""NEW"";;""P3"";""normal""",
"550145;""Add Smart import wizard to quicklinks in project explorer"";""Eclipse Project"";""Platform"";""UI"";""PC"";""Linux"";""CLOSED"";""WONTFIX"";""P3"";""normal""",
"550146;""UI freeze during compare"";""Eclipse Project"";""Platform"";""Compare"";""PC"";""Linux"";""CLOSED"";""DUPLICATE"";""P3"";""normal""",
"550147;""SWTBotToolbarDropDownButton#menuItem(...) very unreliable in Wayland"";""Technology"";""SWTBot"";""SWTBot"";""PC"";""Linux"";""NEW"";;""P3"";""normal""",
"550148;""Use action orientated label for closing events dialogs"";""Eclipse Project"";""Platform"";""UI"";""PC"";""Linux"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550149;""Can't connect to update sites using basic auth"";""Eclipse Project"";""Equinox"";""p2"";""PC"";""Linux"";""NEW"";;""P3"";""normal""",
"550150;""UI freeze in NewKeysPreferencePage"";""Eclipse Project"";""Platform"";""UI"";""PC"";""Linux"";""RESOLVED"";""WONTFIX"";""P3"";""normal""",
"550151;""After opening a new Console"," SWTKeyboardStrategy cannot type there"";""Technology"";""SWTBot"";""SWTBot"";""PC"";""Linux"";""NEW"";;""P3"";""normal"""
"550152;""Port mylyn's ControlListViewer and ControlListItem to platform"";""Eclipse Project"";""Platform"";""UI"";""All"";""All"";""CLOSED"";""WONTFIX"";""P3"";""normal""",
"550153;""Don't hide breakpoint icons behind light bulb icons"";""Eclipse Project"";""Platform"";""Debug"";""All"";""All"";""VERIFIED"";""FIXED"";""P3"";""enhancement""",
"550154;""Use TableViewer in QuickAccessContents instead of Table"";""Eclipse Project"";""Platform"";""UI"";""PC"";""Linux"";""CLOSED"";""WONTFIX"";""P3"";""normal""",
"550156;""Performance regression in GenericPatternMatch positional accessors"";""Modeling"";""Viatra"";""Query"";""PC"";""Windows 10"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550157;""What to do when a product-component bugs are not replied/attended to?"";""Eclipse Foundation"";""Community"";""Bugzilla"";""PC"";""Windows 10"";""RESOLVED"";""WORKSFORME"";""P3"";""major""",
"550158;""Error caused when trying to call class methods"";""Eclipse Project"";""Platform"";""IDE"";""PC"";""Windows 8"";""CLOSED"";""WONTFIX"";""P3"";""major""",
"550159;""Update Liberty server adapter discovery update site URL for 2019-06"";""WebTools"";""WTP ServerTools"";""wst.server"";""PC"";""Mac OS X"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550160;""[code completion] StackOverflowError in code completion for inner classes within lambdas"";""Eclipse Project"";""JDT"";""Core"";""PC"";""Linux"";""NEW"";;""P3"";""major""",
"550161;""CSS in Jenkins job attached files"";""Eclipse Foundation"";""Community"";""CI-Jenkins"";""PC"";""Mac OS X"";""CLOSED"";""WONTFIX"";""P3"";""normal""",
"550163;""Undesirable Markers From LSP4E"";""Technology"";""lsp4e"";""General"";""PC"";""Windows 7"";""CLOSED"";""DUPLICATE"";""P3"";""normal""",
"550164;""Failure exporting a feature for Java1.8 which has plugins requiring packages that are removed in Java-12"";""Eclipse Project"";""PDE"";""Build"";""PC"";""Windows 10"";""NEW"";;""P3"";""major""",
"550165;""Debugging is stuck when """"command abort"""" occurs on step return"";""Tools"";""CDT"";""cdt-debug"";""PC"";""Linux"";""RESOLVED"";""FIXED"";""P3"";""normal""",
"550166;""[language] Support contextual classes"";""Modeling"";""QVTd"";""Core"";""PC"";""Windows 10"";""NEW"";;""P3"";""normal""",
